"Generation","Best Fitness","Total Fitness"
"0","0.006097560975609756","0.1502830633756392"
"1","0.006097560975609756","0.1525574409655726"
"2","0.006097560975609756","0.15819585089148974"
"3","0.006097560975609756","0.16679235635654874"
"4","0.006097560975609756","0.17258945880967688"
"5","0.006097560975609756","0.1772417766959519"
"6","0.006211180124223602","0.18503130260567882"
"7","0.006211180124223602","0.20118760634864546"
"8","0.006211180124223602","0.20332640045563424"
"9","0.006211180124223602","0.21183820122168937"
"10","0.006896551724137931","0.21705448520198442"
"11","0.006896551724137931","0.21776635691727195"
"12","0.006896551724137931","0.23776495576665002"
"13","0.007042253521126761","0.2727601855529455"
"14","0.007042253521126761","0.29863499287586803"
"15","0.0070921985815602835","0.3097808472349525"
"16","0.0070921985815602835","0.3171660642932713"
"17","0.008","0.31828655275583334"
"18","0.008","0.3118110510870337"
"19","0.008","0.3093525542930394"
"20","0.008","0.305118430451568"
"21","0.008","0.3141031884074527"
"22","0.008","0.3208474857495684"
"23","0.008","0.31141749067656327"
"24","0.008064516129032258","0.32959428713743677"
"25","0.008264462809917356","0.3272162814783899"
"26","0.008264462809917356","0.3350646053003761"
"27","0.008264462809917356","0.3492646754097562"
"28","0.008264462809917356","0.351546908409597"
"29","0.008264462809917356","0.363109722478826"
"30","0.009900990099009901","0.3718021791091012"
"31","0.009900990099009901","0.37509603524388413"
"32","0.009900990099009901","0.4041880044796655"
"33","0.009900990099009901","0.41626591052707096"
"34","0.009900990099009901","0.4353856395739516"
"35","0.009900990099009901","0.44239248463526826"
"36","0.010101010101010102","0.45055282722497914"
"37","0.010101010101010102","0.4617615658500148"
"38","0.010101010101010102","0.465793130604798"
"39","0.010101010101010102","0.477791312122092"
"40","0.012195121951219513","0.4770053883534778"
"41","0.012195121951219513","0.49956263291711644"
"42","0.012195121951219513","0.5046868677095967"
"43","0.012195121951219513","0.5150979903774943"
"44","0.012195121951219513","0.5152265627208537"
"45","0.012195121951219513","0.5320754565093454"
"46","0.012195121951219513","0.5392783677733927"
"47","0.012195121951219513","0.5587190711142133"
"48","0.012195121951219513","0.5734858998798262"
"49","0.012195121951219513","0.5722956267752214"
"50","0.015625","0.560501420315967"
"51","0.015625","0.5683508595124713"
"52","0.015625","0.5770470895800099"
"53","0.016666666666666666","0.6061415907771518"
"54","0.016666666666666666","0.6292264679585462"
"55","0.016666666666666666","0.6674329450812356"
"56","0.016666666666666666","0.6996284905716894"
"57","0.016666666666666666","0.7242803460011348"
"58","0.016666666666666666","0.7740345528455289"
"59","0.016666666666666666","0.7871443089430902"
"60","0.016666666666666666","0.7884908536585371"
"61","0.016666666666666666","0.7929623983739843"
"62","0.016666666666666666","0.8077235772357729"
"63","0.016666666666666666","0.8129319105691064"
"64","0.016666666666666666","0.8205284552845535"
"65","0.016666666666666666","0.8160569105691062"
"66","0.016666666666666666","0.8236534552845538"
"67","0.016666666666666666","0.825736788617887"
"68","0.016666666666666666","0.8312500000000009"
"69","0.016666666666666666","0.8291666666666675"
"70","0.016666666666666666","0.8322916666666675"
"71","0.016666666666666666","0.8312500000000009"
"72","0.016666666666666666","0.8322916666666675"
"73","0.016666666666666666","0.8312500000000009"
"74","0.016666666666666666","0.8333333333333343"
"75","0.016666666666666666","0.8333333333333343"
"76","0.016666666666666666","0.832051282051283"
"77","0.016666666666666666","0.8333333333333343"
"78","0.01694915254237288","0.8336158192090406"
"79","0.01694915254237288","0.8338983050847467"
"80","0.01694915254237288","0.8347457627118652"
"81","0.01694915254237288","0.8350282485875715"
"82","0.01694915254237288","0.8347457627118652"
"83","0.01694915254237288","0.8353107344632775"
"84","0.01694915254237288","0.83587570621469"
"85","0.01694915254237288","0.8367231638418082"
"86","0.01694915254237288","0.8381355932203394"
"87","0.01694915254237288","0.8401129943502826"
"88","0.01694915254237288","0.8406779661016951"
"89","0.01694915254237288","0.8367937853107342"
"90","0.01694915254237288","0.8307583659278573"
"91","0.01694915254237288","0.8272327249022163"
"92","0.01694915254237288","0.8280421555845282"
"93","0.01694915254237288","0.8291720990873529"
"94","0.01694915254237288","0.8256464580617116"
"95","0.01694915254237288","0.8386353759235109"
"96","0.01694915254237288","0.838635375923511"
"97","0.01694915254237288","0.8389178617992171"
"98","0.01694915254237288","0.8392003476749232"
"99","0.01694915254237288","0.8392003476749232"
"100","0.017241379310344827","0.839460231266044"
"101","0.017241379310344827","0.8397524580340159"
"102","0.017241379310344827","0.8400446848019879"
"103","0.017241379310344827","0.8422977122985607"
"104","0.017241379310344827","0.851548801870251"
"105","0.017241379310344827","0.8509643483343073"
"106","0.017241379310344827","0.8497954412624191"
"107","0.017241379310344827","0.8509643483343071"
"108","0.017241379310344827","0.8512565751022791"
"109","0.017241379310344827","0.8524254821741667"
"110","0.017241379310344827","0.8494374634716537"
"111","0.017241379310344827","0.8488530099357098"
"112","0.017241379310344827","0.8485607831677375"
"113","0.017241379310344827","0.8488530099357098"
"114","0.017241379310344827","0.8506063705435416"
"115","0.017241379310344827","0.8523880172039142"
"116","0.017241379310344827","0.8485516042500262"
"117","0.017241379310344827","0.8458840983680262"
"118","0.017241379310344827","0.8458840983680258"
"119","0.017241379310344827","0.8497205113219138"
"120","0.017241379310344827","0.85472583134769"
"121","0.017241379310344827","0.855310284883634"
"122","0.017241379310344827","0.8508894183938017"
"123","0.017241379310344827","0.8420476854141379"
"124","0.017241379310344827","0.860900058445354"
"125","0.017241379310344827","0.8563169069831105"
"126","0.017241379310344827","0.8566091337510824"
"127","0.017241379310344827","0.8614845119812979"
"128","0.017241379310344827","0.8614845119812979"
"129","0.017241379310344827","0.8611922852133258"
"130","0.017241379310344827","0.86177673874927"
"131","0.017241379310344827","0.8614845119812978"
"132","0.017241379310344827","0.8617767387492699"
"133","0.017241379310344827","0.8614845119812979"
"134","0.017241379310344827","0.8611922852133259"
"135","0.017241379310344827","0.860607831677382"
"136","0.017241379310344827","0.860900058445354"
"137","0.017241379310344827","0.8614845119812979"
"138","0.017241379310344827","0.861484511981298"
"139","0.017241379310344827","0.8614845119812979"
"140","0.017241379310344827","0.8620689655172419"
"141","0.017241379310344827","0.8576480990274098"
"142","0.017241379310344827","0.8576480990274099"
"143","0.017241379310344827","0.8620689655172419"
"144","0.017543859649122806","0.8623714458560199"
"145","0.017543859649122806","0.8623714458560199"
"146","0.017543859649122806","0.8623714458560199"
"147","0.017543859649122806","0.8626739261947979"
"148","0.017543859649122806","0.8632788868723538"
"149","0.017543859649122806","0.8647912885662437"
"150","0.017543859649122806","0.8650937689050215"
"151","0.017543859649122806","0.8653962492437995"
"152","0.017543859649122806","0.8663036902601334"
"153","0.017543859649122806","0.8678160919540233"
"154","0.017543859649122806","0.8669086509376895"
"155","0.017543859649122806","0.8675136116152455"
"156","0.017543859649122806","0.8635011173253334"
"157","0.017543859649122806","0.8702359346642472"
"158","0.017543859649122806","0.8696309739866916"
"159","0.017543859649122806","0.8699334543254693"
"160","0.017543859649122806","0.8711433756805811"
"161","0.017543859649122806","0.8702359346642473"
"162","0.017543859649122806","0.8690260133091354"
"163","0.017543859649122806","0.8684210526315792"
"164","0.017543859649122806","0.8684210526315794"
"165","0.017543859649122806","0.8693284936479133"
"166","0.017543859649122806","0.8705384150030253"
"167","0.017543859649122806","0.8705384150030253"
"168","0.017543859649122806","0.8628961566477773"
"169","0.017543859649122806","0.8723532970356933"
"170","0.017543859649122806","0.8723532970356933"
"171","0.017543859649122806","0.8723532970356931"
"172","0.017543859649122806","0.8744706594071392"
"173","0.017543859649122806","0.8750756200846952"
"174","0.017543859649122806","0.8747731397459171"
"175","0.017543859649122806","0.8735632183908053"
